date_solar,Air Temperature,Wind Speed at 3m,DHI,DHI Uncertainty,DNI,DNI Uncertainty,GHI,GHI Uncertainty,Relative Humidity,Relative Humidity Uncertainty,Barometric Pressure,Barometric Pressure Uncertainty,power_out_kwh,pred_power_out_kwh
2014-10-01,25.6,4.5,1869.5,145.6,3507.8,410.5,3769.1,274.9,61.5,3,1008.6,5.1,485.422,484.44943
2014-09-01,35.7,4.3,3028.9,246.3,4814.2,408.3,6776.9,448,53.4,3,996.4,5,384.059,385.07816
2014-10-01,34.6,3.8,2920.3,216.4,4289.6,371.3,6267.6,402,68.1,3,997.4,5,380.569,381.61377
2014-12-01,34.4,2.1,2999.9,264.7,5081.7,509.5,7041.5,638.1,36.5,3,975.9,4.9,220.211,219.48721
2016-01-01,35.4,2.3,2769.2,330.2,5858.7,539.6,7330.9,704.8,26.3,3,978.7,4.9,232.744,232.47255
2018-07-01,31.3,1.8,1809.6,142.3,5952.8,410.5,5766.5,361.6,48.7,3,983.9,4.9,244.031,242.6741
2018-08-01,26.3,1.9,1470.9,108,5302.6,374,4392.5,272.4,54,3,987.8,4.9,343.931,342.90176
2014-01-01,23.3,2.2,1983.1,159.5,3970.5,441.5,4255.7,315.5,56.5,3,988.8,5,388.977,389.90408
2014-11-01,34.5,2.2,2989,227.7,5476,530.9,7251.2,537.3,30.4,3,978.4,4.9,225.293,225.01698
2015-05-01,34.5,2.4,2558.4,188.2,5718.3,449.8,6941.3,448.7,35,3,978.6,4.9,263.447,263.1895
2014-12-01,24.7,3.2,1815.9,147.2,4137.2,470.5,4113.3,293.9,54.9,3,1000.5,5,445.922,447.11615
2015-10-01,27.6,2.9,1475.6,124.2,5596.9,459.4,4704.4,323.8,53.7,3,999.4,5,405.028,406.40958
2016-06-01,26.8,2.9,1554.3,115,5064.5,362,4303.6,268.3,58.6,3,1001.2,5,420.589,421.59238
2016-09-01,32.4,2.9,2166.2,158.6,4965.9,364.6,5512.2,349.2,57.2,3,997.2,5,363.696,363.99313
2015-10-01,34.4,3,2942.3,277.7,5657,460.1,7368.4,451.6,48.4,3,992.2,5,304.964,306.30942
2016-10-01,32.8,2.8,2651.5,253.6,4528.1,477.3,6071.6,517.3,69,3,993.4,4.9,337.153,337.53372
2017-06-01,31.1,2.2,2000.9,134.7,5253.3,342,5525.2,343.3,68.4,3,996.9,5,310.058,308.74234
2018-05-01,27.29905063,1.985358598,2016.435556,210.948254,6120.16254,584.3730159,6101.853724,535.5805071,48.52832278,3.001740506,985.0721519,4.933227848,268.845,267.85812
2018-08-01,33.3,3.7,3148.5,255.3,5293.3,495.4,7282,466.3,39.5,3,993.8,5,354.517,355.3242
2016-03-01,34.5,3.2,2527.4,203.6,5710.6,463.8,6917.8,440.1,51,3,992,5,332.461,333.31033
