date_consumption,general_power_supply,pred_general_power_supply
8/29/2013,177300.49,193983.8438
8/30/2013,162704.954,197370.8594
8/31/2013,170136.825,172991.2656
9/1/2013,175409.655,179907.875
9/2/2013,168534.616,183095.375
9/3/2013,166363.794,168452.9063
9/4/2013,165191.931,174456.6875
9/5/2013,161088.926,172847.2344
9/6/2013,157758.086,164545.2969
9/7/2013,163732.753,150418.1719
9/8/2013,172813.067,172250.625
9/9/2013,161339.858,165559.6875
9/10/2013,159344.971,161768.875
9/11/2013,154899.241,163511.4844
9/12/2013,155676.335,157213.3906
9/13/2013,165784.918,160291.2188
9/14/2013,167200.361,177650.5781
9/15/2013,176146.212,173110.6719
9/16/2013,185912.013,171694.1719
9/17/2013,168202.393,169271.8594
9/18/2013,159136.303,175335.0469
9/19/2013,155813.076,158168.7656
9/20/2013,163540.279,161501.9688
9/21/2013,166589.847,172562.2031
9/22/2013,166059.253,179570.8281
9/23/2013,159219.613,169553.125
9/24/2013,156400.707,158803.5156
9/25/2013,160157.308,157349.375
9/26/2013,161544.503,149412.0781
9/27/2013,150482.854,169910.3281
9/28/2013,156860.333,155023
9/29/2013,157208.364,163639.9375
9/30/2013,156561.97,159656.2344
10/1/2013,157082.098,157201.7031
10/2/2013,150738.207,158658.1563
10/3/2013,161630.738,152516.625
10/4/2013,159444.201,162615.4375
10/5/2013,155872.41,156061.6094
10/6/2013,164651.289,159293.7188
10/7/2013,162821.191,168828.7031
10/8/2013,153404.122,168229.5781
10/9/2013,153223.001,155185.3906
10/10/2013,186417.83,153154.4375
10/11/2013,154775.239,177860.375
10/12/2013,163896.324,137935.1563
10/13/2013,208615.864,172804.1563
10/14/2013,154781.148,192702.125
10/15/2013,149360.093,148367.5938
10/16/2013,150602.168,162742.5625
10/17/2013,171711.176,166669.0938
10/18/2013,149703.462,170927.3125
10/19/2013,153876.118,146921.0469
10/20/2013,169067.479,161496.7656
10/21/2013,193448.921,162081.6875
10/22/2013,176564.939,171895.9844
10/23/2013,210340.73,163340.7344
10/24/2013,154615.018,196617.0781
10/25/2013,145761.631,164655.4688
10/26/2013,152884.556,151871.5469
10/27/2013,159965.833,162859.6875
10/28/2013,154439.076,151554.9063
10/29/2013,158858.057,158489.875
10/30/2013,150122.904,160637.4844
10/31/2013,147500.927,150138.1094
11/1/2013,148101.474,160524.0469
11/2/2013,170937.027,172791.7188
11/3/2013,186630.389,167510.2344
11/4/2013,152436.114,172072.875
11/5/2013,150090.199,159037.7969
11/6/2013,148982.344,163506
11/7/2013,159994.865,152739.8906
11/8/2013,199865.061,155720.0625
11/9/2013,198211.364,170280.4375
11/10/2013,166511.632,164549.1875
11/11/2013,163375.256,162468.4063
11/12/2013,156122.699,170760.9844
11/13/2013,153585.175,176107.0625
11/14/2013,151878.051,161002.7344
11/15/2013,151247.689,164407.5313
11/16/2013,158181.825,150290.7031
11/17/2013,182441.353,169372.3594
11/18/2013,174094.157,175733.0938
11/19/2013,155080.115,166379.9688
11/20/2013,154042.673,146527.1563
11/21/2013,157502.82,150723.75
11/22/2013,158204.292,167345.2188
11/23/2013,163865.869,158043.9531
11/24/2013,159531.628,175002.375
11/25/2013,154241.415,154935.6875
11/26/2013,147720.099,152509.3906
11/27/2013,146146.568,155742.4844
11/28/2013,165657.898,146887.9219
11/29/2013,158020.889,175919.2969
11/30/2013,153935.094,164400.375
12/1/2013,156876.965,161263.3281
12/2/2013,150167.555,157401.6719
12/3/2013,152320.577,148619.7656
12/4/2013,177125.071,178626.0781
12/5/2013,154355.398,179868.3281
12/6/2013,142850.603,147646.9688
12/7/2013,151837.928,142543.7813
12/8/2013,168307.722,153679.2969
12/9/2013,199874.597,165451.7031
12/10/2013,225644.438,193422.8281
12/11/2013,183583.7,173637.2969
12/12/2013,168161.824,154427.0156
12/13/2013,181675.6,163800.8438
12/14/2013,168049.066,173951.0156
12/15/2013,168177.296,168191.4063
12/16/2013,161920.89,178819.3125
12/17/2013,162955.306,168665.7344
12/18/2013,163369.985,171537.9375
12/19/2013,174392.423,158246.2813
12/20/2013,268393.079,176388.1406
12/21/2013,215158.612,220458.8281
12/22/2013,278273.828,205750.7188
12/23/2013,261722.516,247372.0625
12/24/2013,173969.541,275136.7188
12/25/2013,165462.427,183407.7344
12/26/2013,159161.212,160764.625
12/27/2013,157840.378,149519.0469
12/28/2013,166718.535,152957.1875
12/29/2013,155788.216,161482.2656
12/30/2013,151353.554,168549.125
12/31/2013,161182.76,159973.1563
1/1/2014,178555.383,168279.4844
1/2/2014,224344.886,191612.2188
1/3/2014,191470.431,208605.2031
1/4/2014,183039.57,192412.1719
1/5/2014,193980.465,172435.875
1/6/2014,176708.862,203650.3594
1/7/2014,147518.436,176070.6719
1/8/2014,143049.793,148051.2813
1/9/2014,143444.162,150150.0625
1/10/2014,152701.995,146267.3594
1/11/2014,196919.315,157420.5156
1/12/2014,199809.557,232391.8594
1/13/2014,169211.444,163558
1/14/2014,179411.982,173574.5313
1/15/2014,215808.792,166329.7656
1/16/2014,222051.729,180066.3438
1/17/2014,210355.345,193340.4375
1/18/2014,226155.097,199287.9375
1/19/2014,204930.592,209935.1875
1/20/2014,187452.522,186838.0313
1/21/2014,169022.844,187186.125
1/22/2014,155485.32,170033.125
1/23/2014,150401.192,159299.4688
1/24/2014,165553.816,156144.4531
1/25/2014,155328.056,183098.5625
1/26/2014,145658.854,167806.6875
1/27/2014,159527.402,164262.3594
1/28/2014,163944.375,166442.2031
1/29/2014,191035.25,166380.5938
1/30/2014,176902.783,194419.1094
1/31/2014,189015.78,162718.75
2/1/2014,199542.869,163350.7031
2/2/2014,196995.706,185870.5781
2/3/2014,183863.969,206378.4063
2/4/2014,156704.51,181164.3906
2/5/2014,142724.687,146738.4375
2/6/2014,141597.343,147458.5313
2/7/2014,148958.494,136731.9531
2/8/2014,173949.342,162854.0313
2/9/2014,205072.432,187933.375
2/10/2014,177195.646,186489.6719
2/11/2014,177446.447,180594.6719
2/12/2014,184357.753,187692.2344
2/13/2014,175287.018,184230.6875
2/14/2014,155142.473,167522.625
2/15/2014,169671.446,145964.6875
2/16/2014,179581.41,168888.7188
2/17/2014,152772.234,169458.9063
2/18/2014,154243.469,149482.5156
2/19/2014,170502.367,162329.1719
2/20/2014,162419.675,182225.5313
2/21/2014,149031.437,163602.8438
2/22/2014,153249.147,152222.3906
2/23/2014,155127.706,166291.7031
2/24/2014,154718.031,151536.8281
2/25/2014,158296.067,154172.9219
2/26/2014,177579.825,177513.7656
2/27/2014,158076.675,167201.1719
2/28/2014,147847.693,146016.9688
3/1/2014,152902.01,147107.8125
3/2/2014,154846.35,159740.4531
