date_wind,wind_speed,wind_dir_cos,wind_dir_sin,air_den,y_true,y_pred
139,0.079470199,-0.92173958,-0.387809421,1.194,8749.533,8732.764
140,0.057395143,0.408082062,0.912945251,1.15,3175.005,3181.7178
141,0.112582781,-0.283691091,0.958915723,1.152,23989.489,23970.12
142,0,-0.445154962,0.89545355,1.186,0,0
143,0.158940397,-0.999020813,-0.044242678,1.229,72068.243,72407.94
144,0.079470199,0.487187675,-0.873297297,1.133,8300.073,8236.524
145,0,-0.445154962,0.89545355,1.189,0,0
146,0.158940397,0.487187675,-0.873297297,1.136,66615.062,67235.8
147,0.033112583,0.984381951,-0.176045946,1.198,634.829,646.07214
148,0.136865342,-0.991198822,-0.132381629,1.165,43605.215,44031.95
149,0.057395143,-0.991198822,-0.132381629,1.151,3178.167,3198.106
150,0.068432671,0.15425145,-0.988031624,1.199,5609.603,5574.5884
151,0.090507726,0.240988305,-0.97052802,1.254,13576.405,13550.338
152,0.205298013,-0.883877473,0.467718518,1.144,144491.575,143409.9
153,0.046357616,-0.283633279,-0.958932825,1.279,1860.445,1874.033
154,0.046357616,0.325781306,0.945445155,1.121,1630.716,1641.001
155,0.068432671,0.903705112,-0.428155428,1.125,5264.79,5229.1772
156,0.04415011,-0.730194157,0.683239704,1.223,1536.882,1591.3705
157,0.04415011,-0.991198822,-0.132381629,1.126,1414.324,1465.826
158,0.079470199,0.240988305,-0.97052802,1.183,8666.232,8606.931
159,0.090507726,-0.448073616,0.893996664,1.173,12697.679,12696.835
160,0.205298013,-0.999020813,-0.044242678,1.14,144049.088,142640.69
161,0.022075055,-0.525347639,0.850887689,1.183,185.831,0
162,0.068432671,0.240988305,-0.97052802,1.175,5495.937,5462.2544
163,0.022075055,-0.022096619,-0.99975584,1.279,200.913,0
164,0,-0.445154962,0.89545355,1.164,0,0
165,0.046357616,0.984381951,-0.176045946,1.169,1700.944,1709.0508
166,0.125827815,0.562428927,0.826845634,1.133,32957.277,33012.402
167,0.068432671,-0.999020813,-0.044242678,1.184,5538.812,5542.462
168,0.14790287,-0.991198822,-0.132381629,1.168,55179.691,55509.668
169,0.057395143,-0.883877473,0.467718518,1.236,3411.469,3433.505
170,0.057395143,-0.991198822,-0.132381629,1.173,3239.024,3257.77
171,0.079470199,-0.999020813,-0.044242678,1.217,8920.635,8904.435
172,0.046357616,0.15425145,-0.988031624,1.147,1668.718,1682.7386
173,0.068432671,-0.991198822,-0.132381629,1.11,5193.572,5197.9854
174,0.068432671,-0.448073616,0.893996664,1.214,5679.792,5689.11
175,0.033112583,0.75966831,0.65031074,1.122,594.656,603.9555
176,0.046357616,0.862318872,-0.506365641,1.132,1646.854,1657.1365
177,0.057395143,-0.525347639,0.850887689,1.142,3151.104,3176.388
178,0.090507726,-0.283691091,0.958915723,1.172,12690.714,12677.443
179,0.112582781,0.996085171,0.088398712,1.145,23853.071,23848.291
180,0.022075055,-0.839071529,-0.544021111,1.232,193.491,0
181,0.068432671,-0.839071529,-0.544021111,1.194,5588.052,5576.8115
182,0.046357616,0.487187675,-0.873297297,1.186,1725.402,1736.988
183,0.068432671,-0.92173958,-0.387809421,1.168,5465.626,5460.702
184,0.090507726,0.15425145,-0.988031624,1.206,13057.508,13029.456
185,0.079470199,0.15425145,-0.988031624,1.153,8445.514,8392.109
186,0.090507726,-0.92173958,-0.387809421,1.175,12716.31,12745.12
187,0.046357616,0.699250806,-0.71487643,1.21,1759.982,1770.1737
188,0.046357616,-0.022096619,-0.99975584,1.194,1736.049,1750.9843
189,0.181015453,-0.283633279,-0.958932825,1.169,101216.062,101466.01
190,0.112582781,-0.36729133,-0.93010595,1.179,24556.941,24715.912
191,0.022075055,0.699250806,-0.71487643,1.215,190.819,0
192,0,-0.445154962,0.89545355,1.224,0,0
193,0,-0.445154962,0.89545355,1.256,0,0
194,0.057395143,-0.022096619,-0.99975584,1.203,3320.57,3311.5127
195,0,-0.445154962,0.89545355,1.113,0,0
196,0.090507726,-0.448073616,0.893996664,1.234,13356.093,13361.957
197,0.181015453,0.996085171,0.088398712,1.2,103869.229,104457.19
198,0.112582781,0.562428927,0.826845634,1.121,23351.142,23298.04
199,0.090507726,0.984381951,-0.176045946,1.167,12631.828,12560.454
200,0.112582781,-0.525347639,0.850887689,1.154,24036.394,24033.137
201,0.079470199,-0.666938062,0.74511316,1.154,8452.125,8442.131
202,0,-0.445154962,0.89545355,1.241,0,0
203,0.046357616,0.75966831,0.65031074,1.157,1683.242,1691.2714
204,0.227373068,-0.36729133,-0.93010595,1.235,211882.349,209389.03
205,0.022075055,-0.598460069,-0.801152636,1.199,188.25,0
206,0,-0.445154962,0.89545355,1.205,0,0
207,0.022075055,0.325781306,0.945445155,1.188,186.569,0
208,0.033112583,-0.283691091,0.958915723,1.147,608.133,617.3074
209,0.046357616,-0.991198822,-0.132381629,1.236,1798.348,1813.9348
210,0.046357616,-0.95241298,-0.304810621,1.207,1755.657,1772.48
211,0.022075055,0.937994752,0.346649455,1.245,195.553,0
212,0.181015453,-0.448073616,0.893996664,1.197,103686.496,103188.36
213,0.033112583,0.15425145,-0.988031624,1.228,651.101,667.64307
214,0.136865342,-0.022096619,-0.99975584,1.194,44687.206,45165.37
215,0,-0.445154962,0.89545355,1.186,0,0
216,0,-0.445154962,0.89545355,1.182,0,0
217,0.112582781,0.699250806,-0.71487643,1.195,24901.7,24979.865
218,0.057395143,-0.525347639,0.850887689,1.147,3165.619,3189.9482
219,0.079470199,-0.787695942,-0.616064204,1.178,8632.41,8610.426
220,0.04415011,-0.283691091,0.958915723,1.139,1430.835,1468.8934
221,0.066225166,-0.525347639,0.850887689,1.143,4847.146,4868.684
222,0.158940397,0.487187675,-0.873297297,1.186,69495.804,70114.29
223,0.046357616,0.862318872,-0.506365641,1.251,1819.794,1827.8748
224,0.136865342,-0.525347639,0.850887689,1.171,43818.808,44019.207
225,0.033112583,-0.991198822,-0.132381629,1.174,622.096,640.905
